"Sample","Traverse","hc.nm.","Pmax.µN.","S.µN.nm.","A.nm.2.","hmax.nm.","heff.nm.","Er.GPa.","E.GPa.","H.GPa.","A","hf.nm.","m","X.mm.","Y.mm.","PERCENTDIST","ABSDIST","Drift.nm.s.","Species","Macaca"
"MacacaA","Basin",335.816755,15520.73841,204.883484,3595875.461,392.248524,392.632237,95.728104,97.92019229,4.316261,0.74837,242.402122,1.983132,-56.178003,5.857,50.98039216,520,-0.02521,"Macaca mulatta","Macaca"
"MacacaA","Basin",332.580817,16219.89939,208.351173,3532817.473,392.867806,390.967455,98.213272,100.7004069,4.591208,1.122253,241.950906,1.914178,-56.178003,5.8775,52.99019608,540.5,-0.072471,"Macaca mulatta","Macaca"
"MacacaA","Basin",334.860135,15539.6934,201.327783,3577179.019,391.894308,392.749662,94.312271,96.3421391,4.34412,1.839594,251.731045,1.826996,-56.178003,5.897,54.90196078,560,-0.073048,"Macaca mulatta","Macaca"
"MacacaA","Basin",333.056839,15678.27927,204.491165,3542060.459,390.07289,390.559125,96.267876,98.52292922,4.426316,0.816612,239.799258,1.966355,-56.178003,5.9375,58.87254902,600.5,-0.070042,"Macaca mulatta","Macaca"
"MacacaA","Basin",340.666684,16269.06947,202.425256,3691374.007,400.459588,400.944746,93.348104,95.26993018,4.407321,1.408328,250.904428,1.866852,-56.178003,5.957,60.78431373,620,-0.093118,"Macaca mulatta","Macaca"
"MacacaA","Basin",332.467634,16026.5965,201.781333,3530621.468,391.324113,392.036808,95.145934,97.27080524,4.539313,1.367803,243.280987,1.872896,-56.178003,5.977,62.74509804,640,-0.079692,"Macaca mulatta","Macaca"
"MacacaA","Basin",330.682752,16348.96141,201.58557,3496076.205,390.992076,391.509135,95.522092,97.69031201,4.676374,2.051578,245.349304,1.802176,-56.178003,5.997,64.70588235,660,-0.024497,"Macaca mulatta","Macaca"
"MacacaA","Basin",327.783333,16281.64434,199.201289,3440302.577,389.221804,389.084308,95.154351,97.28018894,4.73262,4.209217,251.892955,1.678497,-56.178003,6.037,68.62745098,700,-0.061918,"Macaca mulatta","Macaca"
"MacacaA","Basin",335.288894,15173.34448,200.346229,3585553.095,391.519746,392.090604,93.7428,95.70861733,4.2318,3.908489,263.265669,1.700982,-56.178003,6.057,70.58823529,720,-0.040096,"Macaca mulatta","Macaca"
"MacacaA","Basin",333.013666,16859.20056,208.099609,3541221.701,393.096372,393.774955,97.978218,100.4368823,4.760843,2.296597,248.857502,1.788772,-56.178003,6.077,72.54901961,740,-0.048208,"Macaca mulatta","Macaca"
